Organisation Name,Award offered,Discipline,Applicant ACE Area,Region (ONS),Local Authority Name,Constituency
Dsantos Dance UK Ltd,50000.00,Dance,London,London,Lambeth,Streatham
Duffy's Bar Ltd,53000.00,Combined arts,Midlands,East Midlands,Leicester,Leicester South
Durham & Darlington Music Education Hub,572956.00,Not discipline specific,North,North East,County Durham,North West Durham
Durham County Council,249500.00,Theatre,North,North East,County Durham,City of Durham
The Glove That Fits,56194.00,Music,London,London,Hackney,Hackney South and Shoreditch
Eagle Bar Manchester,90000.00,Music,North,North West,Manchester,Manchester Central
Earth Music Agency ltd,336835.00,Music,London,London,Westminster,Cities of London and Westminster
East London Dance,80657.00,Dance,London,London,Newham,West Ham
East Riding Theatre,72522.00,Theatre,North,Yorkshire and The Humber,East Riding of Yorkshire,Beverley and Holderness
East Street Arts,245000.00,Visual arts,North,Yorkshire and The Humber,Leeds,Leeds Central
Eat Sleep Entertainment Ltd,81309.00,Music,North,North West,Blackpool,Blackpool North and Cleveleys
Eat Your Own Ears,99066.00,Music,London,London,Hackney,Hackney North and Stoke Newington
EC LIGHTHOUSE LIMITED,55000.00,Dance,London,London,Barking and Dagenham,Barking
EGO Performance Company Ltd,128564.00,Theatre,Midlands,West Midlands,Coventry,Coventry South
Electric Ballroom,206974.00,Music,London,London,Camden,Holborn and St Pancras
Electric Foundry Limited,70000.00,Theatre,London,London,Harrow,Harrow West
Electric Star Fellowship Ltd,100000.00,Combined arts,London,London,Lewisham,Lewisham West and Penge
Electrowerkz,78000.00,Music,London,London,Islington,Islington South and Finsbury
Elijah & Skilliam,55000.00,Music,London,London,Waltham Forest,Walthamstow
Elimu Carnival Club,95000.00,Combined arts,London,London,Westminster,Westminster North
Elliott Harper Productions Ltd,250000.00,Theatre,London,London,Lambeth,Vauxhall
Ellipsis Entertainment,243000.00,Not discipline specific,South East,East of England,Hertsmere,Hertsmere
ELOQUENT PRAISE AND EMPOWERMENT DANCE COMPANY,100000.00,Dance,Midlands,West Midlands,Birmingham,"Birmingham, Erdington"
Elsewhere Records Ltd,54914.00,Music,South East,South East,Thanet,North Thanet
emccan CIC,98000.00,Combined arts,Midlands,East Midlands,Derby,Derby South
Emergency Exit Arts,110998.00,Theatre,London,London,Greenwich,Greenwich and Woolwich
Empire Leisure UK Ltd,50000.00,Music,South West,South East,Winchester,Meon Valley
Enchanted Entertainment LTD,125000.00,Theatre,South East,South East,Ashford,Ashford
End of The Road Festival Ltd,250000.00,Combined arts,London,London,Hackney,Hackney North and Stoke Newington
Energy Rentals Solutions Limited,58000.00,Not discipline specific,Midlands,East Midlands,South Northamptonshire,South Northamptonshire
Enfield Council,534995.00,Music,London,London,Enfield,Enfield North
English Chamber Orchestra,102034.00,Music,London,London,Ealing,Ealing Central and Acton
English Stage Company Limited,750000.00,Theatre,London,London,Kensington and Chelsea,Chelsea and Fulham
Enlightened Lighting Ltd,247106.00,Not discipline specific,South West,South West,"Bristol, City of",Bristol East
Epic Studios,424720.00,Music,South East,East of England,Norwich,Norwich South
Escape Venue,147247.00,Music,Midlands,East Midlands,Northampton,Northampton South
Esquires Entertainments Ltd,173783.00,Music,South East,East of England,Bedford,Bedford
Europa Editions UK Ltd,91400.00,Literature,London,London,Westminster,Westminster North
European Circus,50000.00,Theatre,Midlands,East Midlands,South Kesteven,Sleaford and North Hykeham
Event Show Support CIC,67650.00,Not discipline specific,North,Yorkshire and The Humber,North East Lincolnshire,Great Grimsby
Events Design Company Ltd,75000.00,Not discipline specific,North,North West,Liverpool,"Liverpool, Wavertree"
Events With Intent LTD,217911.00,Music,North,North West,Liverpool,"Liverpool, Riverside"
Evolution Productions,145468.00,Theatre,South East,South East,Dover,Dover
Ex Cathedra Ltd,114078.00,Music,Midlands,West Midlands,Birmingham,"Birmingham, Ladywood"
Exchange Venue Bristol Limited,85533.00,Music,South West,South West,"Bristol, City of",Bristol West
EXETER CAVERN,50000.00,Music,South West,South West,Exeter,Exeter
Exeter Northcott Theatre,183399.00,Theatre,South West,South West,Exeter,Exeter
Exeter Phoenix,192022.00,Combined arts,South West,South West,Exeter,Exeter
Exus Trek Ltd t/a Deptford Northern Soul Club,53705.00,Music,London,London,Wandsworth,Putney
Fabrica,122453.00,Visual arts,South East,South East,Brighton and Hove,"Brighton, Pavilion"
Face Events,50000.00,Combined arts,London,London,Hackney,Hackney South and Shoreditch
FACT,58357.00,Visual arts,North,North West,Liverpool,"Liverpool, Riverside"
Fairground Heritage Centre,70000.00,Museums,South West,South West,West Devon,Torridge and West Devon
Fairport Convention Limited,200000.00,Music,Midlands,East Midlands,Newark and Sherwood,Sherwood
Faith In Strangers,107000.00,Combined arts,South East,South East,Thanet,South Thanet
FarGo Village,150000.00,Combined arts,Midlands,West Midlands,Coventry,Coventry South
Farm Factory Limited,60600.00,Music,South East,East of England,Broxbourne,Broxbourne
Farnham Maltings Association,165912.00,Combined arts,South East,South East,Waverley,South West Surrey
Fast Entertainment Ltd,82584.00,Music,North,Yorkshire and The Humber,York,York Central
Fat Poppadaddys Ltd,158550.00,Music,South East,South East,Brighton and Hove,"Brighton, Kemptown"
Fat Rascal Ltd,71733.00,Theatre,South West,South East,Winchester,Meon Valley
Feeding the Fish Ltd.,68000.00,Theatre,London,London,Southwark,Bermondsey and Old Southwark
Festival of Thrift,70000.00,Visual arts,North,North East,Stockton-on-Tees,Stockton South
Fiery Angel Ltd,239627.00,Theatre,London,London,Westminster,Cities of London and Westminster
Fife Street Social Club Nuneaton Ltd,200000.00,Music,Midlands,West Midlands,Nuneaton and Bedworth,Nuneaton
Fifty Three Two Events,61116.00,Theatre,North,North West,West Lancashire,South Ribble
Finborough Theatre,59574.00,Theatre,London,London,Kensington and Chelsea,Chelsea and Fulham
Find Your Voice,62000.00,Music,London,London,Islington,Islington South and Finsbury
Fit The Bill Ltd,58000.00,Music,North,North West,Fylde,Fylde
FLO 432 LTD,218272.00,Music,London,London,Barnet,Finchley and Golders Green
Florence Nightingale Museum Trust,137230.00,Museums,London,London,Lambeth,Vauxhall
Flying Music,485000.00,Theatre,London,London,Camden,Holborn and St Pancras
Folklore,91744.00,Music,London,London,Tower Hamlets,Bethnal Green and Bow
Fool's Paradise,116800.00,Combined arts,South West,South West,Exeter,Exeter
"Forty Two, Worthing Limited",72172.00,Music,South East,South East,Worthing,Worthing West
Foundation for Community Dance t/a People Dancing,71000.00,Dance,Midlands,East Midlands,Leicester,Leicester South
Four Corners,98735.00,Visual arts,London,London,Tower Hamlets,Bethnal Green and Bow
Fourth Generation Limited,430552.00,Not discipline specific,South East,East of England,Luton,Luton North
FQBSC Ltd,195825.00,Music,London,London,Southwark,Camberwell and Peckham
Freckle Ltd,245000.00,Theatre,South East,South East,Brighton and Hove,"Brighton, Pavilion"
Freedom Leisure,249901.00,Theatre,Midlands,West Midlands,Stafford,Stafford
Fresh Arts Ltd,97007.00,Theatre,London,London,Harrow,Harrow West
Frinton Summer Theatre,68000.00,Theatre,South East,East of England,Tendring,Clacton
Frome Cheese & Grain,98000.00,Music,South West,South West,Mendip,Somerton and Frome
Fuel Productions,428729.00,Theatre,London,London,Westminster,Cities of London and Westminster
Funcast Ltd,50000.00,Theatre,North,North West,Lancaster,Morecambe and Lunesdale
Funk Productions Ltd,50000.00,Not discipline specific,South West,South West,"Bristol, City of",Bristol North West
Funny Women,80000.00,Theatre,South East,South East,Medway,Rochester and Strood
Furtherfield.org,75000.00,Visual arts,London,London,Hackney,Hackney North and Stoke Newington
Fuse Art Space CIC,66250.00,Combined arts,North,Yorkshire and The Humber,Bradford,Bradford West
Fusion Arts Oxford,86306.00,Combined arts,South East,South East,Oxford,Oxford East
Future Everything CIC,95000.00,Combined arts,North,North West,Manchester,Manchester Central
Future Yard CIC,60000.00,Music,North,North West,Wirral,Wallasey
Futuresound Events Ltd,219368.00,Music,North,Yorkshire and The Humber,Leeds,Leeds Central
Gabrieli,78870.00,Music,London,London,Islington,Islington South and Finsbury
Gaby Jerrard PR Ltd,100000.00,Not discipline specific,London,London,Ealing,"Ealing, Southall"
Gallowglass Ltd,341183.00,Not discipline specific,London,London,City of London,Cities of London and Westminster
Geese Theatre Company Ltd,52062.00,Theatre,Midlands,West Midlands,Birmingham,"Birmingham, Hall Green"
Generator North East,145736.00,Music,North,North East,Newcastle upon Tyne,Newcastle upon Tyne East
Generic Leisure Ltd,190295.00,Music,Midlands,East Midlands,Leicester,Leicester South
George Street (Bath) Ltd,249300.00,Music,South West,South West,Bath and North East Somerset,Bath
GH Soho Limited,150000.00,Music,London,London,Westminster,Cities of London and Westminster
Gilbert White & The Oates Collections,168778.00,Museums,South West,South East,East Hampshire,East Hampshire
Glasswerk Concerts,74487.00,Music,North,North West,Liverpool,"Liverpool, Riverside"
Gliderdrome,75000.00,Music,Midlands,East Midlands,Boston,Boston and Skegness
Glitter Pantomimes Ltd,96228.00,Theatre,Midlands,East Midlands,Ashfield,Ashfield
Global Creatures UK Limited,181425.00,Theatre,London,London,Westminster,Cities of London and Westminster
Global Grooves,147261.00,Combined arts,North,North West,Tameside,Stalybridge and Hyde
Global Touring Office Ltd,69053.00,Not discipline specific,Midlands,West Midlands,Stratford-on-Avon,Stratford-on-Avon
Gloucestershire Everyman Theatre Ltd,832000.00,Theatre,South West,South West,Cheltenham,Cheltenham
Gloworm Events Ltd,70000.00,Combined arts,Midlands,East Midlands,Nottingham,Nottingham East
GLS LIGHT & SOUND PRODUCTION LIMITED,242037.00,Not discipline specific,South West,South East,Southampton,"Southampton, Itchen"
Glynis Henderson Productions,206033.00,Theatre,London,London,Westminster,Cities of London and Westminster
Goblin Theatre,51000.00,Theatre,South East,East of England,St Albans,St Albans
Golden Tree Productions,81010.00,Not discipline specific,South West,South West,Cornwall,Camborne and Redruth
Golowan Festival Community Interest Company,50000.00,Not discipline specific,South West,South West,Cornwall,St Ives
Good Chance Theatre,136198.00,Theatre,London,London,Westminster,Cities of London and Westminster
Gorilla,255500.00,Music,North,North West,Manchester,Manchester Central
GRADE Management,122000.00,Music,South West,South West,"Bristol, City of",Bristol West
Greater Manchester Arts Centre Ltd,351000.00,Combined arts,North,North West,Manchester,Manchester Central
Green Note,92258.00,Music,London,London,Camden,Holborn and St Pancras
Greenwich Leisure Limited (GLL),167051.00,Not discipline specific,London,London,Greenwich,Greenwich and Woolwich
Greenwich Theatre,245000.00,Theatre,London,London,Greenwich,Greenwich and Woolwich
Greenwich+Docklands Festivals,55000.00,Combined arts,London,London,Greenwich,Greenwich and Woolwich
Grimm & Co,86000.00,Literature,North,Yorkshire and The Humber,Rotherham,Rotherham
"Grow, Hackney",247484.00,Combined arts,London,London,Hackney,Hackney South and Shoreditch
Grunge Studios,69911.00,Visual arts,London,London,Camden,Hampstead and Kilburn
Guildford Shakespeare Company,87093.00,Theatre,South East,South East,Guildford,Guildford
Gulbenkian Theatre,140000.00,Combined arts,South East,South East,Canterbury,Canterbury
H D Entertainments Ltd,228560.00,Music,Midlands,East Midlands,Derby,Derby South
Hackney Empire Ltd,585064.00,Theatre,London,London,Hackney,Hackney South and Shoreditch
Halle Concerts Society,740000.00,Music,North,North West,Manchester,Manchester Central
Hampshire Cultural Trust,480000.00,Not discipline specific,South West,South East,Winchester,Winchester
Hampshire Music Service,249000.00,Music,South West,South East,Eastleigh,Eastleigh
Hampstead Theatre Ltd,462800.00,Theatre,London,London,Camden,Hampstead and Kilburn
Handmade in Britain,77904.00,Visual arts,London,London,Lambeth,Vauxhall
Happy Promotions,210546.00,Theatre,South West,South East,Eastleigh,Eastleigh
Harewood House Trust,695556.00,Museums,North,Yorkshire and The Humber,Leeds,Elmet and Rothwell
Harlow Playhouse,531551.00,Combined arts,South East,East of England,Harlow,Harlow
Harrogate Theatre,249820.00,Theatre,North,Yorkshire and The Humber,Harrogate,Harrogate and Knaresborough
Harrow Arts Centre,356237.00,Combined arts,London,London,Harrow,"Ruislip, Northwood and Pinner"
Hartlepool Borough Council,115000.00,Music,North,North East,Hartlepool,Hartlepool
Hartshorn - Hook Enterprises,419049.00,Theatre,London,London,Camden,Hampstead and Kilburn
Harwich Festival,52126.00,Combined arts,South East,East of England,Tendring,Harwich and North Essex
Hastings Contemporary,230000.00,Visual arts,South East,South East,Hastings,Hastings and Rye
Havering Theatre Trust,245000.00,Theatre,London,London,Havering,Hornchurch and Upminster
Hazell group ltd,150000.00,Theatre,North,Yorkshire and The Humber,"Kingston upon Hull, City of",Kingston upon Hull West and Hessle
HDI Dance Camps Ltd,115000.00,Dance,North,North West,Bolton,Bolton North East
Headstone Manor & Museum,244971.00,Museums,London,London,Harrow,Harrow West
Headway Arts,60250.00,Combined arts,North,North East,Northumberland,Blyth Valley
Heart of Glass,151725.00,Combined arts,North,North West,St. Helens,St Helens South and Whiston
Heartbreak Productions,90000.00,Theatre,Midlands,West Midlands,Warwick,Warwick and Leamington
Hebden Bridge Trades Club,61723.00,Music,North,Yorkshire and The Humber,Calderdale,Calder Valley
Helmsley Arts Centre,50000.00,Combined arts,North,Yorkshire and The Humber,Ryedale,Thirsk and Malton
Hereford Cathedral Perpetual Trust,127000.00,Music,Midlands,West Midlands,"Herefordshire, County of",Hereford and South Herefordshire
Heritage and Culture - NSDC,95000.00,Theatre,Midlands,East Midlands,Newark and Sherwood,Newark
Heritage For Children,58000.00,Combined arts,London,London,Merton,Mitcham and Morden
Heugh Battery Museum,71573.00,Museums,North,North East,Hartlepool,Hartlepool
Hexham Book Festival,60000.00,Literature,North,North East,Northumberland,Hexham
Hey! Manchester,50000.00,Music,North,North West,Manchester,Manchester Central
Higher Rhythm Ltd,51784.00,Music,North,Yorkshire and The Humber,Doncaster,Doncaster Central
Hippodrome Great Yarmouth,182907.00,Theatre,South East,East of England,Great Yarmouth,Great Yarmouth
HMM Arts Ltd (The Hive),74094.00,Combined arts,Midlands,West Midlands,Shropshire,Shrewsbury and Atcham
HND HOUSE Ltd t/a THE HAND OF GLORY,50000.00,Music,London,London,Hackney,Hackney North and Stoke Newington
Hobgoblin Theatre Company Ltd,98000.00,Theatre,South East,South East,Mid Sussex,Horsham
Holburne Museum,326408.00,Museums,South West,South West,Bath and North East Somerset,Bath
Hootananny Brixton Ltd,250000.00,Music,London,London,Lambeth,Dulwich and West Norwood
Hope & Ruin,51983.00,Visual arts,South East,South East,Brighton and Hove,"Brighton, Pavilion"
Horsebridge Arts Centre,75000.00,Combined arts,South East,South East,Canterbury,Canterbury
Horsham District Council,182000.00,Combined arts,South East,South East,Horsham,Horsham
Hospital Rooms,75330.00,Visual arts,London,London,Tower Hamlets,Bethnal Green and Bow
Hounslow Arts Trust Ltd,144669.00,Combined arts,London,London,Hounslow,Brentford and Isleworth
House of Burlesque LTD,62447.00,Theatre,London,London,Camden,Holborn and St Pancras
House of Illustration,60000.00,Visual arts,London,London,Camden,Holborn and St Pancras
HoxtonHall,119964.00,Combined arts,London,London,Hackney,Hackney South and Shoreditch
HPSS Ltd,190898.00,Not discipline specific,North,Yorkshire and The Humber,"Kingston upon Hull, City of",Kingston upon Hull West and Hessle
HQ Theatres Bromley Ltd,435586.00,Theatre,London,London,Bromley,Bromley and Chislehurst
HQI,50000.00,Music,London,London,Hackney,Hackney South and Shoreditch
Hub Arts Map,50000.00,Visual arts,London,London,Lewisham,"Lewisham, Deptford"
Hull City Council,145692.00,Museums,North,Yorkshire and The Humber,"Kingston upon Hull, City of",Kingston upon Hull West and Hessle
Hull Truck Theatre,229097.00,Theatre,North,Yorkshire and The Humber,"Kingston upon Hull, City of",Kingston upon Hull West and Hessle
Hyndburn Arts Limited,68000.00,Visual arts,North,North West,Hyndburn,Hyndburn
The Production Family,67855.00,Theatre,London,London,Islington,Islington South and Finsbury
IBB Media Ltd,50000.00,Music,North,Yorkshire and The Humber,Calderdale,Calder Valley
Icarus Theatre Collective,66375.00,Theatre,London,London,Southwark,Bermondsey and Old Southwark
Icon Events and Productions Limited,126818.00,Not discipline specific,North,North West,Knowsley,Knowsley
idle women,89270.00,Combined arts,North,North West,Hyndburn,Hyndburn
IFT,88000.00,Film,London,London,Westminster,Cities of London and Westminster
IKLECTIK ART LAB CIC,70000.00,Combined arts,London,London,Lambeth,Vauxhall
illumaphonium,52488.00,Combined arts,Midlands,East Midlands,Newark and Sherwood,Newark
Illuminate Productions,50000.00,Combined arts,London,London,Southwark,Bermondsey and Old Southwark
Imagine Theatre,245000.00,Theatre,Midlands,West Midlands,Warwick,Kenilworth and Southam
IMG Artists (UK) Ltd,100000.00,Music,London,London,Lambeth,Vauxhall
Improbable,79296.00,Theatre,London,London,Westminster,Cities of London and Westminster
In The Park Concert Ltd,74156.00,Music,South East,East of England,Southend-on-Sea,Southend West
Incredible Artists Ltd,58000.00,Not discipline specific,North,Yorkshire and The Humber,Richmondshire,Richmond (Yorks)
Independent Label Market,50784.00,Music,London,London,Hackney,Hackney North and Stoke Newington
Independent Sunderland,91646.00,Music,North,North East,Sunderland,Sunderland Central
Index on Censorship,55441.00,Literature,London,London,Hackney,Hackney South and Shoreditch
Inner City Music Ltd,211200.00,Music,North,North West,Manchester,Manchester Central
Inspiral Design Ltd.,53000.00,Literature,London,London,Hillingdon,Uxbridge and South Ruislip
InspireAll Leisure and Family Support Services,306457.00,Theatre,South East,East of England,Hertsmere,Hertsmere
Institute of Contemporary Arts,789000.00,Visual arts,London,London,Westminster,Cities of London and Westminster
Intensebeam Ltd,90000.00,Music,Midlands,West Midlands,Birmingham,"Birmingham, Ladywood"
Interim Spaces,50000.00,Not discipline specific,London,London,Westminster,Cities of London and Westminster
Intermusica Artists Management Ltd,198000.00,Music,London,London,Westminster,Cities of London and Westminster
Interplay Theatre Trust,53838.00,Theatre,North,Yorkshire and The Humber,Leeds,Leeds West
Invasion Angels,188800.00,Theatre,London,London,Redbridge,Ilford North
Invisible Circus,65000.00,Theatre,South West,South West,"Bristol, City of",Bristol West
INVISIBLE WIND FACTORY LIMITED,230000.00,Combined arts,North,North West,Liverpool,"Liverpool, Riverside"
IRIE! dance theatre,60000.00,Dance,London,London,Lewisham,"Lewisham, Deptford"
Irish Cultural Centre,80000.00,Combined arts,London,London,Hammersmith and Fulham,Hammersmith
Islington Assembly Hall,235564.00,Music,London,London,Islington,Islington South and Finsbury
Isophase Audio Ltd,75064.00,Not discipline specific,North,Yorkshire and The Humber,Wakefield,"Normanton, Pontefract and Castleford"
Ithaca,50000.00,Combined arts,South East,South East,Brighton and Hove,"Brighton, Pavilion"
Hyde Park Book Club,91000.00,Music,North,Yorkshire and The Humber,Leeds,Leeds Central
Jacksons Lane,197000.00,Combined arts,London,London,Haringey,Hornsey and Wood Green
Jam on Top,60147.00,Music,North,Yorkshire and The Humber,Bradford,Keighley
Jamie London Ltd,249458.00,Theatre,London,London,Westminster,Cities of London and Westminster
Jamie Marcus,50000.00,Combined arts,Midlands,East Midlands,Lincoln,Lincoln
Jamm Hot Ltd,300000.00,Music,South East,South East,Brighton and Hove,"Brighton, Pavilion"
Jane Austen Ltd,189903.00,Combined arts,South West,South West,Bath and North East Somerset,Bath
Jasmin Vardimon Dance Company,137000.00,Dance,South East,South East,Ashford,Ashford
Jazz Hands CIC,61500.00,Theatre,South West,South West,Torbay,Torbay
Jazz Umbrella,50501.00,Music,London,London,Newham,East Ham
JDP Events Limited,100000.00,Music,South West,South West,Tewkesbury,Tewkesbury
Jean-Baptiste Thiebaut,79912.00,Music,London,London,Tower Hamlets,Poplar and Limehouse
Jermyn Street Theatre,91865.00,Theatre,London,London,Westminster,Cities of London and Westminster
Jewish Museum London,249126.00,Museums,London,London,Camden,Holborn and St Pancras
JM Music Limited t/a MusicConnex,53380.00,Music,London,London,Haringey,Hornsey and Wood Green
Jobe Entertainment,69279.00,Music,North,North West,Burnley,Burnley
John Peel Centre,84335.00,Combined arts,South East,East of England,Mid Suffolk,Bury St Edmunds
Joiners Music Ltd,98256.00,Music,South West,South East,Southampton,"Southampton, Itchen"
JRC Entertainments,50000.00,Theatre,Midlands,East Midlands,Rutland,Rutland and Melton
JSC House Ltd ta DREAMBAGS JAGUARSHOES,75000.00,Music,London,London,Hackney,Hackney South and Shoreditch
Juliet Theatre Production Ltd,244398.00,Theatre,London,London,Camden,Hampstead and Kilburn
Junction CDC Ltd,398459.00,Combined arts,South East,East of England,Cambridge,Cambridge
Kala Sangam - The Academy of South Asian Performing Arts,123000.00,Combined arts,North,Yorkshire and The Humber,Bradford,Bradford East
Kansas Smitty's,100341.00,Music,London,London,Hackney,Hackney South and Shoreditch
KD Theatre Productions,74800.00,Theatre,South East,East of England,East Cambridgeshire,South East Cambridgeshire
KDR-Events,288000.00,Combined arts,Midlands,East Midlands,Northampton,Northampton North
Keep Hush,81857.00,Music,London,London,Newham,East Ham
Kendal Brewery Arts Centre,237815.00,Combined arts,North,North West,South Lakeland,Westmorland and Lonsdale
Khayaal Theatre Company,75000.00,Theatre,South East,East of England,Luton,Luton South
Kidderminster Town Council,130903.00,Combined arts,Midlands,West Midlands,Wyre Forest,Wyre Forest
Kiln Theatre,364338.00,Theatre,London,London,Brent,Hampstead and Kilburn
King George's Hall,364000.00,Combined arts,North,North West,Blackburn with Darwen,Blackburn
Kingdom Services Ltd,75000.00,Not discipline specific,North,Yorkshire and The Humber,Hambleton,Richmond (Yorks)
King's Head Theatre Ltd,245000.00,Theatre,London,London,Islington,Islington South and Finsbury
Kingston Theatre Trust,380000.00,Theatre,London,London,Kingston upon Thames,Kingston and Surbiton
Kirklees Theatre Trust,247297.00,Combined arts,North,Yorkshire and The Humber,Kirklees,Huddersfield
KitMapper Ltd,50000.00,Visual arts,London,London,Southwark,Camberwell and Peckham
KLSD C.I.C.,55845.00,Dance,North,North East,Hartlepool,Hartlepool
Knights Of Limited,200000.00,Literature,London,London,Westminster,Cities of London and Westminster
Komedia Ltd,247000.00,Theatre,South East,South East,Brighton and Hove,"Brighton, Pavilion"
Koolwaters agency Ltd,96548.00,Music,South West,South West,North Somerset,North Somerset
Kupfer project space,50000.00,Visual arts,London,London,Hackney,Hackney South and Shoreditch
La Wayaka Current,55000.00,Combined arts,South East,South East,Milton Keynes,Milton Keynes South
Lakes Story Ltd,250000.00,Theatre,North,North West,South Lakeland,Westmorland and Lonsdale
Lakeside Arts,249714.00,Combined arts,Midlands,East Midlands,Nottingham,Nottingham South
Lamp Oil Ltd,94919.00,Music,North,North West,Salford,Salford and Eccles
Landmark Arts Centre,125239.00,Combined arts,London,London,Richmond upon Thames,Twickenham
Lateralize Ltd,135509.00,Music,London,London,Camden,Hampstead and Kilburn
Latest Bars Ltd,97000.00,Music,South East,South East,Brighton and Hove,"Brighton, Kemptown"
Latinolife,104000.00,Music,London,London,Haringey,Hornsey and Wood Green
Laughterhouse On The Road Ltd,96357.00,Theatre,North,North West,Liverpool,"Liverpool, Riverside"
LCC Lancashire Textile Industry Collection,64950.00,Museums,North,North West,Preston,Preston
Leeds Craft Centre,50000.00,Visual arts,North,Yorkshire and The Humber,Leeds,Leeds Central
Leftfoot Venues LTD,75000.00,Music,Midlands,West Midlands,Birmingham,"Birmingham, Hall Green"
Leicester Cathedral,249999.00,Combined arts,Midlands,East Midlands,Leicester,Leicester South
Leicester Drama Society Ltd,154865.00,Dance,Midlands,East Midlands,Leicester,Leicester South
Leicester Square Theatre,623640.00,Theatre,London,London,Westminster,Cities of London and Westminster
Leicester Theatre Trust Ltd,950000.00,Theatre,Midlands,East Midlands,Leicester,Leicester South
Leicester Young Men's Christian Association,115563.00,Theatre,Midlands,East Midlands,Leicester,Leicester South
Leicestershire County Council,71500.00,Museums,Midlands,East Midlands,Blaby,Charnwood
Les Enfants Terribles Theatre Company,203663.00,Theatre,London,London,Greenwich,Greenwich and Woolwich
Letchworth Garden City Heritage Foundation,224228.00,Combined arts,South East,East of England,North Hertfordshire,North East Hertfordshire
Level 3,165937.00,Music,South West,South West,Swindon,South Swindon
Liberdade community development trust,100831.00,Theatre,North,North East,Newcastle upon Tyne,Newcastle upon Tyne Central
Library Productions Ltd,52000.00,Not discipline specific,South East,South East,Brighton and Hove,Hove
Lichfield Garrick Theatre,279446.00,Theatre,Midlands,West Midlands,Lichfield,Lichfield
LICK EVENTS,50000.00,Music,London,London,Camden,Holborn and St Pancras
Lighthouse Arts and Training Ltd,146757.00,Combined arts,South East,South East,Brighton and Hove,"Brighton, Pavilion"
Lightwave Productions,178660.00,Not discipline specific,London,London,Wandsworth,Battersea
Lincoln Students' Union trading Limited,202609.00,Not discipline specific,Midlands,East Midlands,Lincoln,Lincoln
Lincs Inspire Limited,232926.00,Combined arts,North,Yorkshire and The Humber,North East Lincolnshire,Great Grimsby
Link4Life,666475.00,Not discipline specific,North,North West,Rochdale,Rochdale
LipService Theatre,53846.00,Theatre,North,North West,Manchester,"Manchester, Withington"
Rising Moon Theatre,60000.00,Theatre,North,North West,Salford,Salford and Eccles
Lite Alternative Ltd,82000.00,Not discipline specific,North,North West,Blackburn with Darwen,Blackburn
Liteup Events Limited,230000.00,Not discipline specific,South West,South East,Fareham,Fareham
Little Angel Theatre,300000.00,Theatre,London,London,Islington,Islington South and Finsbury
Little People Big Noise,68162.00,Music,London,London,Wandsworth,Battersea
Liverpool & Merseyside Theatres Trust Ltd,389352.00,Theatre,North,North West,Liverpool,"Liverpool, Riverside"
Liverpool Irish Festival,50500.00,Combined arts,North,North West,Liverpool,"Liverpool, Riverside"
Liverpool Lighthouse,81272.00,Music,North,North West,Liverpool,"Liverpool, Walton"
Liz Hobbs Group Ltd,150000.00,Music,Midlands,East Midlands,Newark and Sherwood,Newark
Local Media Initiatives CIC,50000.00,Combined arts,South East,South East,Milton Keynes,Milton Keynes North
Loco Klub,83000.00,Combined arts,South West,South West,"Bristol, City of",Bristol West
London Bach Society,50000.00,Music,London,London,Haringey,Tottenham
London Contemporary Voices,50000.00,Music,London,London,Lambeth,Streatham
London International Festival of Theatre,72822.00,Theatre,London,London,Tower Hamlets,Bethnal Green and Bow
London Musical Theatre Orchestra,50000.00,Theatre,London,London,Westminster,Cities of London and Westminster
London Philharmonic Orchestra,650000.00,Music,London,London,Lambeth,Vauxhall
London Symphony Orchestra,846000.00,Music,London,London,City of London,Cities of London and Westminster
Lord Whitney,111689.00,Visual arts,North,Yorkshire and The Humber,Leeds,Leeds North East
Lost Village Festival,250000.00,Combined arts,Midlands,East Midlands,Lincoln,Lincoln
Love Supreme Festival Limited,118524.00,Music,London,London,Camden,Holborn and St Pancras
Lowther Pavilion Theatre,129860.00,Theatre,North,North West,Fylde,Fylde
LPH Concerts & Events,192259.00,Music,South East,East of England,Bedford,North East Bedfordshire
Lucid Creates,85000.00,Visual arts,South East,South East,Swale,Sittingbourne and Sheppey
Ludlow Assembly Rooms,97250.00,Combined arts,Midlands,West Midlands,Shropshire,Ludlow
Lumen Arts,55000.00,Visual arts,North,Yorkshire and The Humber,Leeds,Leeds Central
Lumen Productions Limited,82478.00,Not discipline specific,North,North West,Sefton,Bootle
LUX,70000.00,Visual arts,London,London,Islington,Islington North
LUX Technical Ltd,210000.00,Not discipline specific,Midlands,East Midlands,South Kesteven,South Holland and The Deepings
LVE Foundation,169500.00,Theatre,London,London,Waltham Forest,Leyton and Wanstead
Lycaeum Music,62081.00,Music,London,London,Islington,Islington South and Finsbury
Lyceum Theatre Crewe Ltd,231387.00,Theatre,North,North West,Cheshire East,Crewe and Nantwich
Lyme Regis Museum,60000.00,Museums,South West,South West,Dorset,West Dorset
M.O.T Venue Ltd,78420.00,Music,London,London,Lewisham,"Lewisham, Deptford"
Mackinnon & Saunders Ltd,97092.00,Not discipline specific,North,North West,Trafford,Altrincham and Sale West
Madding Crowd Ltd,60000.00,Music,South West,South West,"Bournemouth, Christchurch and Poole",Bournemouth West
MADE Festival,347764.00,Combined arts,South East,East of England,St Albans,St Albans
